Title,Summary,Type,Programme,Theme,Status,Date,Contact,Orgs involved,Country,Notes,Link,Region,Primary study / Review,Internal / External,Language,Eligibility,Accessibility,License information,Evidence against the intervention?,Study Design,Population,Interventions,"Intervention(s) - this captures the intervention category from the I/O spreadsheet; [if there is more than one intervention described, suggest we separate with a "";""]",Specific intervention,Outcomes,Outcome(s) - this captures the outcome category from the I/O spreadsheet; yellow highlights indicate new outcomes,Specific outcomes,Strength of Evidence
"Effectiveness of an Integrated Community- and Clinic-Based Intervention on HIV Testing, HIV Knowledge, and Sexual Risk Behavior of Young Men Who Have Sex With Men in Myanmar","Young men who have sex with men (YMSM) in Myanmar are disproportionately affected by HIV, with prevalence five times that of the general population. The Link Up project implemented an intervention using peer education and outreach providing education and counseling on health seeking around sexually transmitted infections and reproductive health, combined with focused clinic capacity building to improve the sexual and reproductive health of YMSM. This study aimed to evaluate the effectiveness and acceptability of the intervention.",Research (published),Link-Up,KP: YMSM,Published,2017,"Luisa Orza,
Georgina Caswell,
Felicia Wong",,Myanmar,"Effectiveness of an Integrated Community- and Clinic-Based Intervention on HIV Testing, HIV Knowledge, and Sexual Risk Behavior of Young Men Who Have Sex With Men in Myanmar Poe Poe Aung, Claire Ryan, Ashish Bajracharya, Naanki Pasricha, Zaw Win Thein, Paul A. Agius, Than Tun Sein, Lisa Willenberg, Ei Mon Soe, Ne Tun Zaw, Waimar Tun, Eileen Yam, Stanley Luchters",https://doi.org/10.1016/j.jadohealth.2016.09.006,,Primary study,Internal,en,Y,Closed access,© Copyright Elsevier; Journal of Adoloscent Health,Yes,Quasi-experimental (mixed methods; pre- and post-intervention cross-sectional survey and focus groups),Youth; MSM,12;11;7;17,"Mobilization, education, and norms change; Counselling and psycho-social support; Diagnosis and treatment of sexually transmitted infections (other than HIV) and other sexual health services; Other (clinic capacity building)","peer education and outreach providing education and counseling on
health seeking around sexually transmitted infections and reproductive health, combined with
focused clinic capacity building to improve the sexual and reproductive health of YMSM.",6;17,Increased use of cvoluntary counselling and testing; Increased knowledge about HIV,"greater proportion of HIV-negative or unknown statusYMSMaccessed HIV testing in the past 3
months in intervention townships; improvements in accessing HIV-related knowledge",Moderate
Patterns of Attendance at Mother Support Groups in Zimbabwe. The EPAZ Trial (2014–2016)," Women living with HIV attended MSG sessions. However, few attended regularly. Younger and newly diagnosed women were less likely to attend postpartum MSG sessions or remain in care at 12 months postpartum. Peer support models should consider specific needs of these women, especially in rural areas, in order for MSGs to contribute to improve maternal and child health outcomes.",Research,,,Published,2017,,,Zimbabwe,,http://doi.org/10.1097/QAI.0000000000001348,,Primary study,Internal,en,Y,Open Access,"© Wolters Kluwer Health, Inc. All rights reserved",No,Observational (Cluster analysis and mixed-effects binomial models),HIV positive mothers,11;12,"Counseling and psycho-social support interventions; mobilization, education and norms change interventions (incl. behavioural and empowerment interventions)",Mother support groups; peer psycho-social support,10;6,Increased retention in care on ART; Increased use of voluntary counselling and testing,Increased retention in care after the first 12 months postpartum,Moderate
Impact of Facility-Based Mother Support Groups on Retention in Care and PMTCT Outcomes in Rural Zimbabwe: The EPAZ Cluster-Randomized Controlled Trial,We were unable to show that facility-based MSGs improved retention in care at 12 months among HIV-exposed infants. Selective enrollment of mothers more likely to be retained-in-care may have contributed to lack of effect. Methods to increase the impact of MSGs on retention including targeting of high-risk mothers are discussed.,Research,,,Published,2017,,,Zimbabwe,,http://doi.org/10.1097/QAI.0000000000001360,,Primary study,Internal,en,Y,Open Access,"© Wolters Kluwer Health, Inc. All rights reserved",Yes,Experimental (Cluster-Randomized Controlled Trial),Young mothers; HIV positive mothers,11;12,"Counseling and psycho-social support interventions; Mobilization, education and norms change interventions (incl. behavioural and empowerment interventions)",Mother support groups; peer psycho-social support,10;6,Increased retention in care on ART; Increased use of voluntary counselling and testing,"Increased infant retention in care defined as “12 months postpartum point attendance""",Moderate
Impact of peer education and on site clinical services for female sex workers in Bangladesh brothels,Evaluation study conducted in Bangladesh by the Population Council for the Link Up project. May 2016.,Evaluation,Link-Up,"KP: FSW, peer-education",Completed,2016,Anna Downie,Population Council,Bangladesh,Published on Inspire. ,https://www.popcouncil.org/uploads/pdfs/2016HIV_LinkUp_BangladeshFSWsBrief.pdf,,Primary study,Internal,en,Y,Open Access,"© The Population Council, Inc.",Yes,Observational (bivariate analysis),"High risk populations, female sex workers",1;2;7;11;12,"Condoms (male) and lubricant programming; HIV care, testing and treatment (incl. adherence and monitoring) services; Diagnosis and treatmetn of sexually-transmitted infections (other than HIV) ad other sexual health services; Counselling and psycho-coaial support interventions; Mobilization, education, and norms change interventions (incl. behavioural and empowerment interventions). ","brothel-based HIV and sexual and reproductive health and rights (SRHR) intervention; ongoing face-to-face outreach with residents in the brothel in one-on-one and group sessions, providing basic information on HIV prevention and SRHR; clinic personnel providing family planning counseling and methods (pill, injectable, and male condoms), HIV testing and counseling, STI diagnosis and treatment, antenatal and postnatal care, general pediatric and adult health consultations.",17;18,Increased knowledge about HIV; Positive behaviour change,improved SRHR knowledge and behaviors among women who sell sex; higher knowledge about HIV transmission; increased HIV testing; increased condom use,Moderate
An integrated peer outreach and clinic based intervention to improve the sexual health of young MSM in Myanmar,Baseline and endline evaluation study conducted by the Population Council under Link Up (May 2016),Evaluation,Link-Up,"KP: Young MSM, SRHR, peer outreach",Completed,2016,Anna Downie,"Population Council, Alliance Myanmar, Burnet Institute and MR",Myanmar,Published on Inspire. ,https://www.popcouncil.org/uploads/pdfs/2016HIV_LinkUp_MyanmarEndlineBrief.pdf,,Primary study,Internal,en,Y,Open Access,"© The Population Council, Inc.",Yes,Quasi-experimental (pre- and post-intervention cross-sectional survey),Youth; MSM,1;2;7;11;12,"Condoms (male) and lubricant programming; HIV care, testing and treatment (incl. adherence and monitoring) services; Diagnosis and treatmetn of sexually-transmitted infections (other than HIV) ad other sexual health services; Counselling and psycho-social support; Mobilization, education and norms change; Interventions aimed at addressing stigma, discrimination and violence","peer-driven intervention for young MSM in Myanmar; outreach by peer educators; provided MSM in their community with condoms and lubricants, counseling, and referrals to appropriate services; a clinic based service offered HIV counseling and testing, STI screening and treatment, psychosocial support, and sexual health counseling",1;6;18;40;25;35,Increased condom use; increased use of voluntary counselling and testing; positive behaviour change (individual level); reduced discrimination and stigma around HIV (in particular MSM with HIV); increased access to voluntary counselling and testing; Increased access to STI screening,"increased use of voluntary conselling and testing; decrease in the percentage of MSM who reported unprotected anal sex in the last 30 days; sensitizing service providers on respectful MSM treatment
and care; MSM clients receiving both HIV and STI testing services",Low
Is the promise ofmethadone Kenya’s solution to managing HIV and addiction? A mixed-method mathematical modelling and qualitative study. ,"Promoted globally as an evidence-based intervention in the prevention of HIV and treatment of heroin addiction among PWID, OST can help control emerging HIV epidemics among PWID. With implementation in December 2014, Kenya is the third Sub-Saharan African country to have introduced OST. We combine dynamic mathematical modelling with qualitative sociological research to examine the 'promise of methadone' to Kenya.",Research (published),,Harm Reduction,Completed,2015,"Andy Guise, Tim Rhodes","KANCO, LSHTM, Alliance Secretariat",Kenya,BMJ Open. 2015 Mar 6;5(3):e007198,http://dx.doi.org/10.1136/bmjopen-2014-007198,,Primary study,Internal,en,Y,Open Access,© BMJ Medical Group Ltd.,No,Quasi-experimental (mathematical modelling and qualitative data analyses),PWID,10,Opiod subsitution therapy and other drug dependence treatment / overdose prevention and management programmes,"implementing methadone in
low-income settings in Kenya",12;19;29,Increased use of opiod substitution therapy; improved sexual and reproductive heatlth outcomes; increased access to opiod susbstitution therapy; ,reductions in HIV incidence and prevalence among people who inject drugs linked to the implementation of OST,High
"Looking In, Looking Out: A formative evaluation of the LILO KP methodology in Kenya and Zimbabwe",Interviews with participants immediately after training to assess changes in their attitudes.,Evaluation,KP Connect,"KP: LGBT
LILO",Completed,2016,Cat Simmons,,"Kenya;Zimbabwe","Public Health Action, Vol7, No 2, June 2017",,,Primary study,Internal,en,Y,Closed access,© Lucy Soar,No,Observational (semi-structed interviews),High risk populations,13,"Interventions addressing stigma, discrimination and violence, including gender-based violence prevention and treatment programs",Sensitise people working with MSM and SW through building empathy with KPs; ,40;43;20,Reduced discrimination and stigma surrounding HIV; Challenging of harmful gender and social norms; Other (increased understanding of non-KP views and the need to work with them),"Key populations increased their understanding of the attitudes towards them, and the need to work with the heterosexual community; Non KPs training. Non-KPs described positive shifts in their attitudes towards KPs as a result of the training, and consequently being more confident in talking about their work and KP issues with their families and communities; ",Moderate
Mid- Term Review of Link-Up,Research Report,Evaluation,,,Completed,2017,,India AIDS Alliance,India,,,,Primary study,Internal,en,Y,Closed access,© Bastian Schwarz,No,Observational (interviews; thematic analysis; focus group discussions),"young people living with HIV; sex workers; men who have sex with men; transgender people and people who use drugs",2;11;12;13,"Not clearly stated in the document as it is a mid-term review; HIV care, testing and treatment; counselling and psycho-social support interventions; mobilization, educationnd norms change interventions (incl. behavioural and empowerment interventions); interventions addressing discrimination and violence, including gender-based violence prevention and treatment programs. ","Improving the integration of SRHR interventions into existing community- and facility-based HIV programmes; Targeted outreach services which take services to young people from key populations;  Demand side financing schemes such as vouchers which target specific groups of young people and provide access to free services at social franchise clinics; The use of information and communication technologies (ICT) and social media to provide targeted, accurate information to young people from key populations; A new community based system, monitoring system - Rights – Evidence – ACTion (REAct), to support evidence for rights based approaches has been developed and rolled out; Research evidence on the impact of Link Up and exploratory research filling knowledge gaps about effective services for young people from key populations. Case studies documenting best practices are now starting to be collated.",17;6;19;35;44;40;43;36,Increased knowlseg about HIV; Increased use of voluntary couselling and testing; Improved sexual and reproductive health outcomes; Increased access to STI screening; increase in capacity of communities to be safe and supportive; reduced stigma around HIV; challenging of harmful gender and social norms; increased access to reproductive health options,"Young people are better informed and are thus able to make healthier choices regarding their sexuality; Growing No. of young people have access to ART, contraceptives & other commodities required for good sexual & reproductive health; Public & private clinics provide better sexual & reproductive healthcare services, which more & more people are using; Greater respect for the sexual & reproductive rights of people to whom these rights are denied; capacity of networks for young people from key population have been strengthened allowing these networks to expand their reach; Young People have increased their individual skills, knowledge and confidence.",Moderate
Positive Impact: Report of the Mid Term Review,Report,Evaluation,A UK BIG Lottery International Communities Project,,Report Completed,2015,Anna Downie,P.V ,Namibia,,,,Primary study,Internal,en,Y,Closed access,"© UK BIG Lottery International Communities Project
Implemented by the International HIV&AIDS Alliance and Positive Vibes, Namibia",No,Observational (interviews; field observations; literature review),PLHIV,2;11;12;13,"HIV care, testing and treatment (incl. adherence and monitoring) services; Counselling and psycho-social support interventions; Mobilization, education, and norms interventions (incl. Behavioural and empowerment interventions; Interventions addressing stigma, discrimination and violence, including gender-based violence prevention and treatment programs;","Initial cadre of 15 RF and CBF were trained/retrained for this project; delivery of updated Inside-Out training packages to a total of 2000 support group members, newly diagnosed PLHIV and people with identified treatment adherence problems as referred from local clinics and home-based HIV-testing and defaulter tracing service provider DAPP/TCE; activities include sensitisation of service providers to PLHIV perspectives and needs through Inside-Out trainings, regular clinic visits of community-based facilitators to support and promote referrals from and to community-based services and the distribution of informational materials at clinics.",5;20;18;19;42;6;8;5;40;44,Improved adherence to ART; Other (greater self esteem and confidence); Postive behavior change (individual level); Improved sexual and reproductive health (increased use of reproduction options) outcomes; enabling public policy environment; increased use of voluntary counselling and testing; improved uptake of ART; improved adherence to ART; reduced discrimination and stigma around HIV; increased capacity of communities to be safe and supportive; ,"support group members report greater self-confidence and self-esteem and provide practical examples how this has translated into healthier behaviours, including sexual risk reduction, greater adherence to ARV treatment and increased uptake of family planning services; PLHIV representation at constituency level",Moderate
Reducing provider held stigma improving young client satisfaction in Bangladesh,Evaluation conducted by the Population Council aiming to reduce stigma among service providers,Evaluation,Link-Up,Stigma and discrimination,Completed,2016,Anna Downie,"Population Council and Marie Stopes, Bangladesh",Bangladesh,Published on Inspire. ,https://www.popcouncil.org/uploads/pdfs/2016HIV_LinkUp_BangladeshStigmaBrief.pdf,,Primary study,Internal,en,Y,Open Access,"© The Population Council, Inc.",No,"Quasi-experimental (baseline, midterm and endpoint comparisons)",,13,"Interventions addressing stigma, discrimination and violence, including gender-based violence prevention and treatment programs","A stigma reduction training package (Over 1,000 healthcare providers (doctors, paramedics/nurses/family welfare visitors, and counselors) at 270 health facilities in 38 target districts in Bangladesh were trained by local partners on meeting the HIV and SRHR needs of young, vulnerable clients); ",40,Reduced discrimination and stigma around HIV,"In some cases providers’ attitudes improved significantly after the integration training and remained stable after the supplemental stigma training; supplemental stigma training seemed to have had an additional substantial impact on providers’ attitudes toward marginalized populations; fewer providers reported being unwilling to provide services, fearing disease transmission, or judging clients to be immoral if they were a young sexually active person",Low
Implementing and scaling up HCV treatment services for people who inject drugs and other high risk groups in Ukraine: An evaluation of programmatic and treatment outcomes,"HCV prevalence estimates among people who inject drugs (PWID) in Ukraine is high (60–90%), yet barriers to HCV treatment and care remain substantial including limited access to direct acting antiviral (DAA) medications. A feasibility scale-up project implemented HCV treatment in community-based settings to improve access to DAA treatment for key populations in this context",Research (published),,"Hepatitis C virus (HCV) infection
Direct acting antiviral (DAA)",Published,2017,Monika Sigrist can refer to person in LO,APH,Ukraine,https://www.sciencedirect.com/science/article/pii/S0955395917302372,https://doi.org/10.1016/j.drugpo.2017.07.023,,Primary study,Internal,en,Y,Closed Access,"© Elsevier, International Journal of Drug Policy",No,"Quasi-experimental (baseline, midpoint and endpoint comparison) ",PWID; high risk populations,7;11,Diagnosis and treatment of sexually transmitted infections (other than HIV) and other sexual health services; Counselling and pyscho-social support interventions,"HCV treatment in community-based settings to improve access to DAA treatment for key populations; organized meetings with potential participants, motivated them to complete medical examinations, provided them with information on drug safety and possible side effects, and scheduled all medical appointments; support to patients by helping them overcome barriers to treatment entry and monitor adherence to ensure treatment effectiveness; the social workers scheduled individual counseling sessions and helped to develop individualized reminder systems to promote medication adherence and completion of laboratory diagnostics",25;33;20;19,"Increased access to voluntary couselling and testing; Increased access to Hep B and Hep C prevention, screening, and treatment; Other (removal of monetary barriers of treatment for patietnts); Other (improved knowledge about HCV); improved sexual and reproductive health ","HCV treatment scale-up; low attrition and, most importantly, comparable SVR rates between PWID who currently inject, PWID who do not currently inject, PWID who are on OAT, and other high risk groups; treatment dropout was low; Treatment retention was 97.7%; the proportions of participants who achieved SVR for the overall sample and for those with complete data (N = 1029) were 86.2% (95% CI 84.08–88.19%) and 94.3% (95% CI 92.8–95.7%) respectively",High
Synthesis of the Country Evaluations,"Uganda, Burundi and Ethiopia commissioned their own country level evaluations. This report also includes a summary of the advocacy component evaluation.",Evaluation,Link-Up,,Completed,2016,Luisa Orza,n/a,Multi-country,,,,Primary study,Internal,en,Y,Closed access,© Luisa Orza,No,"Quasi-experimental (baseline, midpoint and endpoint comparison) ",,11;12;13;2;7;16;14,"counseling and psycho-social support interventions; Mobilization, education and norms change interventions (incl. behavioural and empowerment interventions); interventions addressing stigma, discrimination and violence, including gender-based violence prevention and treatment programs; HIV care, testing and treatment (incl. adherence and monitoring) services; diagnosis and treatment of sexually transmitted infections (other than HIV) and other sexual health services; interventions aimed to influence HIV-related laws policies and practices of policy makers; interventions aimed at removing human rights-and gender-related barriers","Community mobilisation, especially peer-led activities undertaken at the community level to reach young people; Referrals to public and private clinics offering integrated SRHR and HIV services; youth-led
service provision to increase trust between (especially) marginalised communities and service providers; clinical outreach services (mobile clinics, etc) to reach members of harder to reach communities (rural, sex workers, etc); Training and capacity building to create an enabling environment within services, through for example the reduction of stigma and discrimination against young people living with HIV and from key affected populations; rights protection; SRHR and HIV service delivery to younger adolescents; and, improve youth friendly services, including through involvement of young people in service delivery; Consultation with young people regarding their SRHR and HIV needs, advocacy training for young people and support to develop national advocacy plans; technical support to implement plans; mentoring programmes; partnership and coalition building at the country and regional levels; and development and implementation of human rights monitoring systems. Global policy advocacy informed by national and global consultation; engagement with global policy processes including the post-2015 Agenda and Sustainable Development Goals (SDGs) and International Conference on Population and Development (ICPD)+ 20; engagement with bi- and multi-lateral donors to increase support for the SRHR of adolescent and young people living with and most affected by HIV; participation in relevant global policy fora.",6;17;8;5;1;19;35;36;18;38;40;45;42;43;44;39;46;20,increased use of volunartary counselling and testing; increased knowledge about HIV; increased uptake of ART; increased adherence to ART; increased condom use; improved sexual and reproductive health outcomes; increased access to STI screening; increased access to reproductive health options; positive behaviour change; increased access to conception and pregnancy care; reduced discrimination and stigma around HIV; positive social transformation (community level); enabling public policy environment; challenging harmful gender and social norms; increase incapacity for communities to be safe and supportive; existence of protective laws in support of people affected by HIV and abortion laws; removal of legal barreirs that prevent access to health services; other (income generation activities); other (increased solidarity among sex workers); ,"Young people are better informed and are thus able to make healthier choices regarding their sexuality; A growing number of people have access to anti-retroviral drugs, contraceptives and other commodities required for good sexual and reproductive health; Public and private clinics provide better sexual and reproductive healthcare services, which more and more people are using;  Greater respect for the sexual and reproductive rights of people to whom these rights are denied; ",Moderate
How harm reduction programs work in the context of village and commune safety policy: Lessons learned from a national non-governmental organization in Cambodia. ,"This paper aims to examine the challenges and implications of the Village and Commune Safety Policy (VCSP) on harm-reduction programs and describe lessons learned from a harm-reduction program within the context of the VCSP in Cambodia. Data were collected from a monitoring and evaluation database and reports of a drop-in center that provides a wide range of harm-reduction services. In addition, qualitative data were collected through key informant interviews and focus group discussions with 38 participants including people who use drugs (PWUD) and people who inject drugs (PWID). Desk reviews and consultative meetings with key stakeholders were also conducted. In total, 496 PWUD were registered into the program between 2010 and 2012, of which 22.4% were PWID, and 15.0% were women. The mean age of participants was 26 years old. HIV prevalence among PWUD was 1.0% compared to 16.2% among PWID. Remarkable achievements were observed such as high uptake of services by PWUD and PWID with active referrals to methadone maintenance treatment (MMT) and voluntary HIV confidential counseling and testing (VCCT). However, distribution of clean needles and syringes in communities was limited. Also, the newly initiated needle and syringe program (NSP) based in pharmacies failed to reach PWUD and PWID. Appropriate coordination and collaboration with law enforcement and authorities were observed given the complexity of the VCSP. However, the implementation of the VCSP poses challenges including NSP and accessibility to harm reduction services. For future successes of harm-reduction programs, it is important to maintain close coordination and collaboration between program implementers and local authorities with mutual understanding and flexibility.",Research,,Harm Reduction ,Complete,2017,Yi Siyan,KHANA,Cambodia,Journal of Addiction Disorder and Rehabilitation 2017 (in press).,https://openaccesspub.org/jadr/article/641,,Primary study,Internal,en,Y,Open Access,© Sovannary Tuot,No,"Observational (focus groups, interviews; thematic analysis)",PWUD; PWID,11;12;2;7;9;10;17;1;16,"counseling and psycho-social support interventions; Mobilization, education and norms change interventions (incl. behavioural and empowerment interventions); HIV care, testing and treatment (incl. adherence and monitoring) services; diagnosis and treatment of sexually transmitted infections (other than HIV) and other sexual health services; needle and syringe programs; opiod substitution therapy and other drug dependence treatment / overdose prevention and management programs; other approaches (livelihood development); condoms (male and female) and lubricant programming; interventions aimed to incfluence HIV-related laws policies and practices of policy makers; ","Clinic for Mental Health and Drug
Dependence at MMT
HIV testing and counselling (blood
sample collected at the Center);
Refer to Steung Meanchey Health
Center and RHAC
Anti-retroviral therapy √ Refer to SHCH and Chhouk Sar clinics
Prevention and treatment for STI;
Provide education and refer to health
facilities
Condom promotion for drug users and
their sexual partner;
Provide education sessions at the Center/
outreach activities and educational materials
(i.e. leaflet, booklet)
Targeted information, education and
communication;
Provide education sessions at the Center/
outreach activities and educational materials
(i.e. flipbooks, booklets, posters) on drugs
and health impact, methamphetamine,
heroine.
Diagnosis, treatment and vaccination
for hepatitis B;
Provide education sessions at the
Center/outreach activities and referral
to health facilities
Prevention, diagnosis and treatment of
TB;
Provide education sessions at the
Center/outreach activities and referral
to health facilities
Advocacy and supporting enabling
environment;
Organized quarterly coordinating meeting
with authorities, parents, NGO partners, in
collaboration with AusAID, WHO, UNAIDS
and FHI360 on HIV-drugs and harm
reduction for law enforcement in selected
provinces and Phnom Penh.
Basic health services, including
overdose prevention and treatment;
Provide education sessions,
counselling, training
Sexual and reproductive health services;
Provide education sessions at the
Center/outreach activities and referral
to health facilities
Home based care and support for HIV
positive drug users;
Conduct home visit and link to KHANA
home base care in the catchment area
Family support for parents and
children of PWUD/PWID;
Home visit and refer children to access
to schools
Access to justice and legal service;
Provide consultation and option to the
family with their children arrested by
police
Livelihood development/economic
strengthening;
Link to KHANA livelihood center and other
private shops based for their skill
developments",6;16;18,increased use of voluntary conselling and testing; improved mental helath outcomes; positive behavior change; ,increased use of voluntary conselling and testing; improved mental helath outcomes; positive behavior change; ,Moderate
Empowering communities and strengthening systems to improve transgender health: outcomes from the Pehchan programme in India.,"This paper presents outcomes of the Global Fund-supported Pehchan programme, which aimed to strengthen community systems and provide HIV, health, legal and social services to transgender communities across 18 Indian states through a rights-based empowerment approach.",Research (published),Pehchan,"KP: TG, MSM, Global Fund",Completed,2016,,"Alliance India, Alliance Secretariat, University of Lancaster",India,J Int AIDS Soc. 2016 Jul 17;19(3 Suppl 2):20809. doi: 10.7448/IAS.19.3.20809. eCollection 2016.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4949313/,,Primary study,Internal,en,Y,Open Access,"© Wolters Kluwer Health, Inc. All rights reserved",No,Quasi-experimental (pre- and post-intervention cross-sectional survey),Transgender populations,1;12;11;14;15,"Condoms (male and female) and lubricantprogramming; Mobilization, education and norms change interventions (incl. behavioural and empowerment interventions); Counseling andpsycho-social support interventions; Inteventions aimed at removing humanrights- and gender-relatedbarriers (incl. Legal services interventions); Socioeconomic approaches",accessed health social and legal services,1;25;6;20,"Increased condom use; increased access to voluntary counselling and testing; Increased access to mental health support; increased access to legal services; increased use of voluntary counselling and testing; Other (not closely related to HIV,  e.g. self esteem, access to formal education, employment, etc.) [access to social entitlements]","increases in community-based demand and use of tailored health, legal, social and psychological services; significant increases in access to condoms (12.5%, p<0.001) and condom use at last anal sex with both regular (18.1%, p<0.001) and casual (8.1%, p<0.001) male partners; Access to HIV outreach education and testing and counselling services significantly increased; In addition, significant increases in access to emergency crisis response (19.7%, p<0.001), legal support (26.8%, p<0.001) and mental health services;  successfully provided a platform for the formation, collectivization and visibility of peer support groups. ",High
"Patterns of HIV testing, drug use, and sexual behaviors in people who use drugs and people who inject drugs: Findings from a community-based outreach program in Phnom Penh, Cambodia","Background: People who use drugs are an important priority for HIV programs. However, data related to their utilization
of HIV services are limited. This paper reports patterns of HIV testing, drug use, and risk and service perception
among people who use drugs. Study participants were receiving HIV and harm reduction services from a communitybased
program in Phnom Penh, comprised of itinerant peer-led outreach and static drop-in centers.
Methods: This was a mixed-methods study conducted in 2014, comprising of a quantitative survey using a structured
questionnaire, followed by two focus group discussions among a sub-sample of survey participants. Participants
were recruited from hotspots in five HIV high-burden communes using a two-stage cluster sampling method. Quantitative
descriptive analyses and qualitative thematic analyses were performed.
Results: This study included 151 people who use drugs with a mean age of 31.2 (SD = 6.5) years; 77.5% were male
and 39.1% were married. The most common drugs used were methamphetamines (72.8%) and heroin (39.7%), and
38.0% injected drugs in the past 3 months. Overall, 83.3% had been tested for HIV in the past 6 months, of whom
62.5% had been tested by peers through community-based outreach. However, there were ongoing HIV risks: 37.3%
were engaging in sex on drugs, only 35.6% used a condom at last sexual intercourse, and 10.8% had had a sexually
transmitted infection in the last 6 months. Among people who reported injecting drugs in the past 3 months, 27.5%
reported re-using needles/syringes. Almost half (46.5%) perceived themselves as being at lower risk of HIV compared
to the general population. Qualitative results contextualized the findings of low perception of HIV risks and suggested
that although services were often unavailable on weekends, at night, or during national holidays, peer-led community-
based outreach was highly accepted.
Conclusions: A peer-led community-based approach was effective in reaching people who use drugs with HIV and
harm reduction interventions. To mitigate ongoing HIV risks, expanding access to combination prevention interventions
and implementing strategies to enable people who use drugs to objectively assess their HIV risks are required.
Additionally, community-based programs should collect data along the care continuum, to enable decentralized
tracking of progress towards 90–90–90 goals at local levels.",Research,,Harm Reduction ,Completed,2017,Yi Siyan,KHANA,Cambodia,Addiction Science & Clinical Practice 2017 (in press).,https://doi.org/10.1186/s13722-017-0094-9,,Primary study,Internal,en,Y,Open Access,© Mburu et al. ,No,Observational (cross-sectional survey),Key populations; PWUD; PWID,1;9;12;10;11;2,"Condoms (male and female) and lubricant programming; Needle and syringe programs; Mobilization, education and norms change interventions (incl. behavioural and empowerment interventions); Opioid substitutiontherapy and other drug dependencetreatment / Overdose prevention and management programs; Counseling andpsycho-social support interventions; HIV care, testing and treatment (incl. adherence and monitoring) services",,6;11;17;25;28;29,Increased use of voluntary counselling and testing; Increased uptake of sterile injecting equipment; Increased knowledge about HIV; Increased access to voluntary counselling and testing; Increased access to sterile injecting equipment; Increased access to opioid substitution therapy; ,,Moderate
"Final Evaluation of Botswana Network of Ethics, Law and AIDS (BONELA) Making Children’s rights a reality in Botswana Project
","Final Evaluation of Botswana Network of Ethics, Law and AIDS (BONELA) Making Children’s rights a reality in Botswana Project
",Evaluation,,,Completed,2014,,BONELA,Botswana,,,,Primary study,Internal,en,Y,Closed access,© Results Based Management and Sustainability Consulting,No,Observational (interviews; thematic analysis),Children,14;16,Inteventions aimed at removing human rights- and gender-related barriers (incl. Legal services interventions); Interventions aimed to influence HIV-related laws policies and practices of policy makers,,39,Existence of protective laws in support of people affected by HIV and abortion laws,,Moderate
"Implementing needle and syringe programmes in Kenya: Changes, opportunities and challenges in HIV prevention","by James Ndimbii, Andy Guise, Sylvia Ayon, Mlewa Kalama, Susie McLean, Tim Rhodes",Research (published),"Supplement to Journal of Adolescent Health: Volume 60, No 252, Feb 2017: Integrating Rights into HIV and Sexual and Reproductive Health: Evidence and Experiences from the Link Up Project",PWID,Completed,2015,,KANCO,Kenya,"African Journal of Drug and Alcohol Studies. Vol 14, No 2 (2015)",https://www.ajol.info/index.php/ajdas/article/view/133127/122752,,Primary study,Internal,en,Y,Open Access,© CRISA Publications,No,Observational (longitudinal study),PWID,9,Needle and syringe programs,,28;11;18,Increased access to sterile injecting equipment; Increased uptake of sterile injecting equipment; Positive behaviour change (individual level),,Moderate
Increasing access to HIV treatment through a community-supported public private partnership in Myanmar: A case study,"This case study is one in a series of case studies produced by the International HIV AIDS Alliance. This series brings together best practices from our global community-based programming to define and guide good practice in a range of technical areas including: Human rights and GIPA, Research, evaluation and documentation, HIV prevention, Sexual and reproductive health and rights and HIV integration, HIV and tuberculosis, HIV programming for children and, HIV and drug use.",Case Study,,,Completed,2016,,"International HIV/AIDS
Alliance in Myanmar",Myanmar,,http://www.aidsalliance.org/assets/000/002/447/Myanmar_case_study_web_original.pdf?1456408220,,Primary study,Internal,en,Y,Open Access,© International HIV/AIDS Alliance,No,"Observational (retrospective review of routinely collected health records of people living with HIV, together with an analysis of previous programmatic reports)",PLHIV,2;6;8;11;12,"HIV care, testing and treatment (incl. adherence and monitoring) services; Interventions targeting the prevention and management of coinfections and comorbidities (incl. TB/HIV collaborative interventions); Prevention, diagnosis and treatment of opportunistic infections interventions; Counseling and psycho-social support interventions; Mobilization, education and norms change interventions (incl. behavioural and empowerment interventions)",,26;5;9;10;18,Increased access to ART; Improved adherence to ART;  Improved viral suppression on ART; Improved retention in care on ART; Positive behaviour change (individual level),,Low
MID-LINE ASSESSMENT OF TRANSGENDER & HIJRA POPULATION IN WAJOOD STATES,Research Report,Evaluation,,,Completed,2017,,India AIDS Alliance,India,,,,Primary study,Internal,en,Y,Closed access,© HIV/AIDS Alliance India,No,Observational (baseline and midpoint comparison),Transgender populations,12;11;15;13,"Mobilization, education and norms change interventions (incl. behavioural and empowerment interventions); Counseling andpsycho-social support interventions; Socioeconomic approaches; Interventions addressing stigma, discrimination and violence, including gender-based violence prevention and treatment programs; ",,17;20;40,"Increased knowledge about HIV; Other (not closely related to HIV,  e.g. self esteem, access to formal education, employment, etc.) [access to social entitlements]; Reduced discrimination and stigma around HIV",,High
